source_id,sector,year,dimension,score,passage_excerpt,coder_id,confidence,review_status,notes
SRC_ELE_1978_PER,Electronics,1978,persistence,0,Synthetic passage for workflow demonstration only.,demo,low,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1979_PER,Automobiles,1979,persistence,0,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1979_SPE,Automobiles,1979,specificity,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1979_NET,Automobiles,1979,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1979_ALL,Automobiles,1979,allocation,0,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1980_PER,Automobiles,1980,persistence,1,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_AUT_1980_SPE,Automobiles,1980,specificity,0,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1980_NET,Automobiles,1980,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,high,needs_review,Synthetic data; no substantive interpretation.
SRC_AUT_1980_ALL,Automobiles,1980,allocation,0,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1981_PER,Automobiles,1981,persistence,0,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1981_SPE,Automobiles,1981,specificity,1,Synthetic passage for workflow demonstration only.,demo,high,needs_review,Synthetic data; no substantive interpretation.
SRC_AUT_1981_NET,Automobiles,1981,network_breadth,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1981_ALL,Automobiles,1981,allocation,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1982_PER,Automobiles,1982,persistence,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1982_SPE,Automobiles,1982,specificity,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1982_NET,Automobiles,1982,network_breadth,0,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_AUT_1982_ALL,Automobiles,1982,allocation,2,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_AUT_1983_PER,Automobiles,1983,persistence,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1983_SPE,Automobiles,1983,specificity,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1983_NET,Automobiles,1983,network_breadth,0,Synthetic passage for workflow demonstration only.,demo,low,needs_review,Synthetic data; no substantive interpretation.
SRC_AUT_1983_ALL,Automobiles,1983,allocation,2,Synthetic passage for workflow demonstration only.,demo,low,needs_review,Synthetic data; no substantive interpretation.
SRC_AUT_1984_PER,Automobiles,1984,persistence,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1984_SPE,Automobiles,1984,specificity,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1984_NET,Automobiles,1984,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_AUT_1984_ALL,Automobiles,1984,allocation,0,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_AUT_1985_PER,Automobiles,1985,persistence,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1985_SPE,Automobiles,1985,specificity,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1985_NET,Automobiles,1985,network_breadth,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1985_ALL,Automobiles,1985,allocation,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1986_PER,Automobiles,1986,persistence,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1986_SPE,Automobiles,1986,specificity,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1986_NET,Automobiles,1986,network_breadth,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1986_ALL,Automobiles,1986,allocation,2,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_SHI_1978_PER,Shipbuilding,1978,persistence,0,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1978_SPE,Shipbuilding,1978,specificity,2,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_SHI_1978_NET,Shipbuilding,1978,network_breadth,0,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1978_ALL,Shipbuilding,1978,allocation,0,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1979_PER,Shipbuilding,1979,persistence,2,Synthetic passage for workflow demonstration only.,demo,high,needs_review,Synthetic data; no substantive interpretation.
SRC_SHI_1979_SPE,Shipbuilding,1979,specificity,0,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1979_NET,Shipbuilding,1979,network_breadth,1,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_SHI_1979_ALL,Shipbuilding,1979,allocation,0,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1980_PER,Shipbuilding,1980,persistence,0,Synthetic passage for workflow demonstration only.,demo,low,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1980_SPE,Shipbuilding,1980,specificity,0,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1980_NET,Shipbuilding,1980,network_breadth,1,Synthetic passage for workflow demonstration only.,demo,low,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1980_ALL,Shipbuilding,1980,allocation,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1981_PER,Shipbuilding,1981,persistence,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1981_SPE,Shipbuilding,1981,specificity,1,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_SHI_1981_NET,Shipbuilding,1981,network_breadth,0,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_SHI_1981_ALL,Shipbuilding,1981,allocation,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1982_PER,Shipbuilding,1982,persistence,0,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1982_SPE,Shipbuilding,1982,specificity,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1982_NET,Shipbuilding,1982,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1982_ALL,Shipbuilding,1982,allocation,1,Synthetic passage for workflow demonstration only.,demo,low,needs_review,Synthetic data; no substantive interpretation.
SRC_SHI_1983_PER,Shipbuilding,1983,persistence,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1983_SPE,Shipbuilding,1983,specificity,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1983_NET,Shipbuilding,1983,network_breadth,0,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1983_ALL,Shipbuilding,1983,allocation,0,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1984_PER,Shipbuilding,1984,persistence,2,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_SHI_1984_SPE,Shipbuilding,1984,specificity,2,Synthetic passage for workflow demonstration only.,demo,low,needs_review,Synthetic data; no substantive interpretation.
SRC_SHI_1984_NET,Shipbuilding,1984,network_breadth,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1984_ALL,Shipbuilding,1984,allocation,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1985_PER,Shipbuilding,1985,persistence,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1985_SPE,Shipbuilding,1985,specificity,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1985_NET,Shipbuilding,1985,network_breadth,0,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1985_ALL,Shipbuilding,1985,allocation,0,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1986_PER,Shipbuilding,1986,persistence,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1986_SPE,Shipbuilding,1986,specificity,2,Synthetic passage for workflow demonstration only.,demo,low,accepted,Synthetic data; no substantive interpretation.
SRC_SHI_1986_NET,Shipbuilding,1986,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,high,needs_review,Synthetic data; no substantive interpretation.
SRC_SHI_1986_ALL,Shipbuilding,1986,allocation,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1978_PER,Textiles,1978,persistence,0,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1978_SPE,Textiles,1978,specificity,2,Synthetic passage for workflow demonstration only.,demo,low,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1978_NET,Textiles,1978,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1978_ALL,Textiles,1978,allocation,2,Synthetic passage for workflow demonstration only.,demo,low,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1979_PER,Textiles,1979,persistence,0,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1979_SPE,Textiles,1979,specificity,2,Synthetic passage for workflow demonstration only.,demo,high,needs_review,Synthetic data; no substantive interpretation.
SRC_TEX_1979_NET,Textiles,1979,network_breadth,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1979_ALL,Textiles,1979,allocation,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1980_PER,Textiles,1980,persistence,0,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1980_SPE,Textiles,1980,specificity,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1980_NET,Textiles,1980,network_breadth,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1980_ALL,Textiles,1980,allocation,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1981_PER,Textiles,1981,persistence,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1981_SPE,Textiles,1981,specificity,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1981_NET,Textiles,1981,network_breadth,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1981_ALL,Textiles,1981,allocation,2,Synthetic passage for workflow demonstration only.,demo,low,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1982_PER,Textiles,1982,persistence,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1982_SPE,Textiles,1982,specificity,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1982_NET,Textiles,1982,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,low,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1982_ALL,Textiles,1982,allocation,2,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_TEX_1983_PER,Textiles,1983,persistence,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1983_SPE,Textiles,1983,specificity,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1983_NET,Textiles,1983,network_breadth,0,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1983_ALL,Textiles,1983,allocation,1,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_TEX_1984_PER,Textiles,1984,persistence,2,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_TEX_1984_SPE,Textiles,1984,specificity,2,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_TEX_1984_NET,Textiles,1984,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,low,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1984_ALL,Textiles,1984,allocation,2,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_TEX_1985_PER,Textiles,1985,persistence,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1985_SPE,Textiles,1985,specificity,2,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_TEX_1985_NET,Textiles,1985,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1985_ALL,Textiles,1985,allocation,2,Synthetic passage for workflow demonstration only.,demo,high,needs_review,Synthetic data; no substantive interpretation.
SRC_TEX_1986_PER,Textiles,1986,persistence,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1986_SPE,Textiles,1986,specificity,2,Synthetic passage for workflow demonstration only.,demo,low,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1986_NET,Textiles,1986,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_TEX_1986_ALL,Textiles,1986,allocation,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1978_PER,Chemicals,1978,persistence,2,Synthetic passage for workflow demonstration only.,demo,low,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1978_SPE,Chemicals,1978,specificity,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1978_NET,Chemicals,1978,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,low,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1978_ALL,Chemicals,1978,allocation,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1979_PER,Chemicals,1979,persistence,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1979_SPE,Chemicals,1979,specificity,2,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_CHE_1979_NET,Chemicals,1979,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1979_ALL,Chemicals,1979,allocation,2,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_CHE_1980_PER,Chemicals,1980,persistence,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1980_SPE,Chemicals,1980,specificity,2,Synthetic passage for workflow demonstration only.,demo,low,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1980_NET,Chemicals,1980,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1980_ALL,Chemicals,1980,allocation,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1981_PER,Chemicals,1981,persistence,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1981_SPE,Chemicals,1981,specificity,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1981_NET,Chemicals,1981,network_breadth,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1981_ALL,Chemicals,1981,allocation,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1982_PER,Chemicals,1982,persistence,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1982_SPE,Chemicals,1982,specificity,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1982_NET,Chemicals,1982,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1982_ALL,Chemicals,1982,allocation,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1983_PER,Chemicals,1983,persistence,2,Synthetic passage for workflow demonstration only.,demo,high,needs_review,Synthetic data; no substantive interpretation.
SRC_CHE_1983_SPE,Chemicals,1983,specificity,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1983_NET,Chemicals,1983,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_CHE_1983_ALL,Chemicals,1983,allocation,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1984_PER,Chemicals,1984,persistence,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1984_SPE,Chemicals,1984,specificity,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1984_NET,Chemicals,1984,network_breadth,1,Synthetic passage for workflow demonstration only.,demo,low,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1984_ALL,Chemicals,1984,allocation,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1985_PER,Chemicals,1985,persistence,1,Synthetic passage for workflow demonstration only.,demo,low,needs_review,Synthetic data; no substantive interpretation.
SRC_CHE_1985_SPE,Chemicals,1985,specificity,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1985_NET,Chemicals,1985,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1985_ALL,Chemicals,1985,allocation,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1986_PER,Chemicals,1986,persistence,2,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_CHE_1986_SPE,Chemicals,1986,specificity,2,Synthetic passage for workflow demonstration only.,demo,high,needs_review,Synthetic data; no substantive interpretation.
SRC_CHE_1986_NET,Chemicals,1986,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_CHE_1986_ALL,Chemicals,1986,allocation,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_MAC_1978_PER,Machinery,1978,persistence,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_MAC_1978_SPE,Machinery,1978,specificity,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_MAC_1978_NET,Machinery,1978,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_MAC_1978_ALL,Machinery,1978,allocation,0,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_MAC_1979_PER,Machinery,1979,persistence,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
